Date,Root,Ticker,Price
2013-10-25,FV,FVH2014,120.8671875
2013-10-25,FV,FVM2014,120.8671875
2013-10-25,TY,TYH2014,126.375
2013-10-25,TY,TYM2014,126.375
2013-10-28,TU,TUH2014,109.96875
2013-10-28,TU,TUM2014,109.7890625
2013-10-28,FV,FVH2014,120.875
2013-10-28,FV,FVM2014,120.875
2013-10-28,TY,TYH2014,126.328125
2013-10-28,TY,TYM2014,126.328125
2013-10-29,TU,TUH2014,109.984375
2013-10-29,TU,TUM2014,109.8046875
2013-10-29,FV,FVH2014,120.953125
2013-10-29,FV,FVM2014,120.953125
2013-10-29,TY,TYH2014,126.484375
2013-10-29,TY,TYM2014,126.484375
2013-10-30,TU,TUH2014,110.0
2013-10-30,TU,TUM2014,109.8203125
2013-10-30,FV,FVH2014,120.859375
2013-10-30,FV,FVM2014,120.859375
2013-10-30,TY,TYH2014,126.25
2013-10-30,TY,TYM2014,126.25
2013-10-31,TU,TUH2014,110.015625
2013-10-31,TU,TUM2014,109.8359375
2013-10-31,FV,FVH2014,120.859375
2013-10-31,FV,FVM2014,120.859375
2013-10-31,TY,TYH2014,126.09375
2013-10-31,TY,TYM2014,126.09375
2013-11-01,TU,TUH2014,110.0
2013-11-01,TU,TUM2014,109.8203125
2013-11-01,FV,FVH2014,120.59375
2013-11-01,FV,FVM2014,120.59375
2013-11-01,TY,TYH2014,125.5
2013-11-01,TY,TYM2014,125.5
2013-11-04,TU,TUH2014,110.0234375
2013-11-04,TU,TUM2014,109.84375
2013-11-04,FV,FVH2014,120.703125
2013-11-04,FV,FVM2014,120.703125
2013-11-04,TY,TYH2014,125.71875
2013-11-04,TY,TYM2014,125.71875
2013-11-05,TU,TUH2014,110.0234375
2013-11-05,TU,TUM2014,109.84375
2013-11-05,FV,FVH2014,120.5703125
2013-11-05,FV,FVM2014,120.5703125
2013-11-05,TY,TYH2014,125.28125
2013-11-05,TY,TYM2014,125.28125
2013-11-06,TU,TUH2014,110.0625
2013-11-06,TU,TUM2014,109.8828125
2013-11-06,FV,FVH2014,120.8203125
2013-11-06,FV,FVM2014,120.8203125
2013-11-06,TY,TYH2014,125.640625
2013-11-06,TY,TYM2014,125.640625
2013-11-07,TU,TUH2014,110.0859375
2013-11-07,TU,TUM2014,109.90625
2013-11-07,FV,FVH2014,120.9453125
2013-11-07,FV,FVM2014,120.9453125
2013-11-07,TY,TYH2014,125.859375
2013-11-07,TY,TYM2014,125.859375
2013-11-08,TU,TUH2014,110.0234375
2013-11-08,TU,TUM2014,109.84375
2013-11-08,FV,FVH2014,120.4453125
2013-11-08,FV,FVM2014,120.4453125
2013-11-08,TY,TYH2014,124.765625
2013-11-08,TY,TYM2014,124.765625
2013-11-11,TU,TUH2014,110.015625
2013-11-11,TU,TUM2014,109.8359375
2013-11-11,FV,FVH2014,120.390625
2013-11-11,FV,FVM2014,120.390625
2013-11-11,TY,TYH2014,124.6875
2013-11-11,TY,TYM2014,124.6875
2013-11-12,TU,TUH2014,109.96875
2013-11-12,TU,TUM2014,109.7890625
2013-11-12,FV,FVH2014,120.25
2013-11-12,FV,FVM2014,120.25
2013-11-12,TY,TYH2014,124.5625
2013-11-12,TY,TYM2014,124.5625
2013-11-13,TU,TUH2014,110.0
2013-11-13,TU,TUM2014,109.8203125
2013-11-13,FV,FVH2014,120.5390625
2013-11-13,FV,FVM2014,120.5390625
2013-11-13,TY,TYH2014,125.015625
2013-11-13,TY,TYM2014,125.015625
2013-11-14,TU,TUH2014,110.0625
2013-11-14,TU,TUM2014,109.8828125
2013-11-14,FV,FVH2014,120.8515625
2013-11-14,FV,FVM2014,120.8515625
2013-11-14,TY,TYH2014,125.5
2013-11-14,TY,TYM2014,125.5
2013-11-15,TU,TUH2014,110.0625
2013-11-15,TU,TUM2014,109.8828125
2013-11-15,FV,FVH2014,120.8125
2013-11-15,FV,FVM2014,120.8125
2013-11-15,TY,TYH2014,125.421875
2013-11-15,TY,TYM2014,125.390625
2013-11-18,TU,TUH2014,110.0859375
2013-11-18,TU,TUM2014,109.90625
2013-11-18,FV,FVH2014,120.953125
2013-11-18,FV,FVM2014,120.953125
2013-11-18,TY,TYH2014,125.71875
2013-11-18,TY,TYM2014,125.625
2013-11-19,TU,TUH2014,110.0546875
2013-11-19,TU,TUM2014,109.875
2013-11-19,FV,FVH2014,120.7578125
2013-11-19,FV,FVM2014,120.7578125
2013-11-19,TY,TYH2014,125.40625
2013-11-19,TY,TYM2014,125.3125
2013-11-20,TU,TUH2014,110.109375
2013-11-20,TU,TUM2014,109.9296875
2013-11-20,FV,FVH2014,120.75
2013-11-20,FV,FVM2014,120.75
2013-11-20,TY,TYH2014,125.015625
2013-11-20,TY,TYM2014,124.921875
2013-11-21,TU,TUH2014,110.125
2013-11-21,TU,TUM2014,109.9453125
2013-11-21,FV,FVH2014,120.78125
2013-11-21,FV,FVM2014,120.78125
2013-11-21,TY,TYH2014,125.03125
2013-11-21,TY,TYM2014,124.9375
2013-11-22,TU,TUH2014,110.1015625
2013-11-22,TU,TUM2014,109.921875
2013-11-22,FV,FVH2014,120.8125
2013-11-22,FV,FVM2014,120.8125
2013-11-22,TY,TYH2014,125.28125
2013-11-22,TY,TYM2014,124.9375
2013-11-25,TU,TUH2014,110.1015625
2013-11-25,TU,TUM2014,109.921875
2013-11-25,FV,FVH2014,120.8828125
2013-11-25,FV,FVM2014,120.8828125
2013-11-25,TY,TYH2014,125.390625
2013-11-25,TY,TYM2014,125.046875
2013-11-26,TU,TUH2014,110.1328125
2013-11-26,TU,TUM2014,109.953125
2013-11-26,FV,FVH2014,121.0859375
2013-11-26,FV,FVM2014,121.0859375
2013-11-26,TY,TYH2014,125.796875
2013-11-26,TY,TYM2014,125.453125
2013-11-27,TU,TUH2014,110.1484375
2013-11-27,TU,TUM2014,109.96875
2013-11-27,FV,FVH2014,120.9765625
2013-11-27,FV,FVM2014,120.9765625
2013-11-27,TY,TYH2014,125.484375
2013-11-27,TY,TYM2014,125.140625
2013-11-29,TU,TUH2014,110.1484375
2013-11-29,TU,TUM2014,109.96875
2013-11-29,FV,FVH2014,120.921875
2013-11-29,FV,FVM2014,120.921875
2013-11-29,TY,TYH2014,125.375
2013-11-29,TY,TYM2014,125.03125
2013-12-02,TU,TUH2014,110.1171875
2013-12-02,TU,TUM2014,109.9375
2013-12-02,FV,FVH2014,120.6484375
2013-12-02,FV,FVM2014,120.6484375
2013-12-02,TY,TYH2014,124.859375
2013-12-02,TY,TYM2014,124.515625
2013-12-03,TU,TUH2014,110.125
2013-12-03,TU,TUM2014,109.9453125
2013-12-03,FV,FVH2014,120.8046875
