Ticker,Bond_ID,CF,Year
TUU2021,US91282CCK53,0.9038,2021
TUZ2021,US91282CDA62,0.9058,2021
TYM2021,US912828ZQ64,0.6382,2021
TYU2021,US91282CAE12,0.6382,2021
TYZ2021,US91282CAV37,0.655,2021
FVH2021,US91282CBQ33,0.7688,2021
FVM2021,US91282CCF68,0.7793,2021
FVU2021,US91282CCW91,0.7793,2021
FVZ2021,US91282CDK45,0.8003,2021
TUH2021,US91282CBN02,0.8951,2021
TUM2021,US91282CBX83,0.8994,2021
TUU2021,US91282CCN92,0.8994,2021
TUZ2021,US91282CDD02,0.9037,2021
TYM2021,US91282CAE12,0.6304,2021
TYU2021,US91282CAV37,0.6476,2021
TYZ2021,US91282CBL46,0.6648,2021
FVH2021,US91282CBT71,0.7761,2021
FVM2021,US91282CCJ80,0.7814,2021
FVU2021,US91282CCZ23,0.7814,2021
FVZ2021,US91282CDQ15,0.7974,2021
TUH2021,US91282CBU45,0.8908,2021
TUM2021,US91282CCD11,0.8951,2021
TUU2021,US91282CCU36,0.8951,2021
TUZ2021,US91282CDM01,0.9018,2021
TYM2021,US91282CAV37,0.6402,2021
TYU2021,US91282CBL46,0.6577,2021
TYZ2021,US91282CCH25,0.7474,2021
TUM2021,US91282CCK53,0.8908,2021
TUU2021,US91282CDA62,0.8931,2021
TUZ2021,US91282CDR97,0.9024,2021
TYM2021,US91282CBB63,0.7142,2021
TYU2021,US91282CBS98,0.7474,2021
TYZ2021,US91282CCR07,0.7341,2021
TYM2021,US91282CBJ99,0.7208,2021
TYU2021,US91282CBZ32,0.7474,2021
TYZ2021,US91282CCS89,0.6598,2021
TYM2021,US91282CBL46,0.6509,2021
TYU2021,US91282CCB54,0.6867,2021
TYZ2021,US91282CCV19,0.7408,2021
TYM2021,US91282CBP59,0.7408,2021
TYU2021,US91282CCE93,0.7474,2021
TYZ2021,US91282CCY57,0.7395,2021
TYM2021,US91282CBS98,0.7395,2021
TYU2021,US91282CCH25,0.7395,2021
TYZ2021,US91282CDF59,0.7463,2021
TYM2021,US91282CBZ32,0.7395,2021
TYU2021,US91282CCR07,0.7258,2021
TYZ2021,US91282CDJ71,0.6623,2021
TYM2021,US91282CCB54,0.6805,2021
TYU2021,US91282CCS89,0.6532,2021
TYZ2021,US91282CDL28,0.7532,2021
TYM2021,US91282CCE93,0.7395,2021
TYU2021,US91282CCV19,0.7326,2021
TYH2022,US9128285M81,0.8471,2022
TYM2022,US9128286B18,0.8205,2022
TYU2022,US9128286T26,0.8072,2022
TYZ2022,US912828YB05,0.7674,2022
FVH2022,US91282CCF68,0.8089,2022
FVM2022,US912828Z781,0.822,2022
FVU2022,US912828Z781,0.8305,2022
FVZ2022,US91282CEC10,0.8499,2022
TUH2022,US9128285U08,0.9447,2022
TUM2022,US9128286R69,0.9358,2022
TUU2022,US9128286Z85,0.9303,2022
TUZ2022,US912828YH74,0.9263,2022
TYH2022,US9128286B18,0.8149,2022
TYM2022,US9128286T26,0.8012,2022
TYU2022,US912828YB05,0.76,2022
TYZ2022,US912828YS30,0.7669,2022
FVH2022,US91282CCJ80,0.8102,2022
FVM2022,US91282CCW91,0.8089,2022
FVU2022,US91282CDK45,0.8271,2022
FVZ2022,US91282CEF41,0.8704,2022
TUH2022,US9128285Z94,0.94,2022
TUM2022,US9128286Z85,0.921,2022
TUU2022,US912828Y875,0.9272,2022
TUZ2022,US912828YM69,0.9229,2022
TYH2022,US9128286T26,0.7953,2022
TYM2022,US912828YB05,0.7529,2022
TYU2022,US912828YS30,0.76,2022
TYZ2022,US912828Z948,0.7458,2022
FVH2022,US91282CCP41,0.7975,2022
FVM2022,US91282CCZ23,0.8102,2022
FVU2022,US91282CDQ15,0.8241,2022
FVZ2022,US91282CEN74,0.8775,2022
TUH2022,US9128286G05,0.9353,2022
TUM2022,US912828W713,0.9365,2022
TUU2022,US912828YE44,0.9152,2022
TUZ2022,US912828YV68,0.9196,2022
TYH2022,US912828YB05,0.7458,2022
TYM2022,US912828YS30,0.7531,2022
TYU2022,US912828Z948,0.7385,2022
TYZ2022,US912828ZQ64,0.6877,2022
FVH2022,US91282CCW91,0.7989,2022
FVM2022,US91282CDG33,0.8164,2022
FVU2022,US91282CEC10,0.842,2022
FVZ2022,US91282CET45,0.8707,2022
TUH2022,US912828W713,0.928,2022
TUM2022,US91282CBR16,0.9058,2022
TUU2022,US912828YH74,0.9164,2022
TUZ2022,US912828YY08,0.921,2022
TYH2022,US912828YS30,0.7463,2022
TYM2022,US912828Z948,0.7314,2022
TYU2022,US912828ZQ64,0.6792,2022
